"Name","Release Date","Companies"
"","Sep 23, 1996","SSI (Strategic Simulations, Inc.), DreamForge Intertainment"
"","Oct 19, 2023","Bynine"
"","Dec 31, 1995","Millennium Interactive, Vic Tokai"
"","Dec 29, 2002","Relic Entertainment, Microsoft Game Studios"
"","Oct 01, 2005","Paradox Interactive, Black Sea Studios"
"","Oct 17, 1997","Crave Entertainment, Revolution Software"
"","Dec 31, 2000","Midway Games West, Midway Games"
"","Dec 31, 1999","Kinotrope, Toshiba-EMI"
"","Mar 04, 2005","Ambrosia Software, Introversion Software"
"","Dec 08, 2008","Hidden Path Entertainment, Microsoft"
"","Dec 31, 1998","The 3DO Company, New World Computing"
"","May 21, 2015","Technocrat Games, Wadjet Eye Games"
"","Jan 01, 1994","Legend Entertainment"
"","Feb 28, 1997","TDB"
"","Jul 25, 2019","Praxis Games"
"","Mar 01, 1997","Digital Reality, GT Interactive Software"
"","Oct 24, 2003","ALTAR Games, Cenega / Tri Synergy Inc."
"","Aug 05, 1995","The Logic Factory"
"","Apr 28, 1998","DreamForge Intertainment, ASC Games"
"","Sep 30, 1999","Volition, Interplay Entertainment"
"","Oct 30, 1995","Raven Software, id Software"
"","Oct 01, 1993","Frontier Developments, Konami"
"","Dec 05, 2022","Pahris Entertainment"
"","Dec 27, 2022","TDB"
"","Sep 12, 2022","Moral Anxiety Studio"
"","Jul 11, 2019","tinyBuild, Matt Dabrowski"
"","Nov 25, 2004","Elemental Games, Cinemaware Marquee"
"","Jan 25, 2005","Oddworld Inhabitants, Electronic Arts"
"","Sep 01, 2022","DON&#39;T NOD, PortaPlay"
"","Mar 11, 2005","VIS Entertainment, Midway Games West"
"","Jul 31, 1999","Infogrames, Appeal Studios"
"","Oct 03, 2002","Natsume Inc., Punchline"
"","Sep 19, 2017","Victorian Clambake"
"","Apr 27, 2000","FromSoftware, Agetec"
"","Oct 05, 2010","Namco Bandai Games, Ninja Theory"
"","Jun 25, 2010","Raven Software, Activision"
"","Oct 21, 2003","Idol FX, KISS ltd"
